base,target,top0,top1,top2,top3,top4,k_order,k_score
cow__herd,wolf__pack,cow__herd,elephant__herd,sheep__flock,bird__flock,wolf__pack,4,0.875532568
letter__alphabet,elephant__herd,letter__alphabet,word__language,note__music,star__constellation,suit__wardrobe,,
senator__senate,fish__school,senator__senate,police__precinct,soldier__army,singer__choir,gorbachev__soviet,,
cattle__herd,galaxy__universe,cattle__herd,antelope__herd,bird__flock,sheep__flock,wolf__pack,,
division__company,person__society,division__company,department__college,department__government,paragraph__book,community__society,,
player__team,student__class,player__team,spouse__couple,singer__choir,cow__herd,soldier__army,,
secretary__staff,state__country,secretary__staff,employee__staff,soldier__army,player__team,actor__cast,,
nomad__horde,state__country,nomad__horde,elephant__herd,antelope__herd,acrobat__troupe,christian__congregation,,
represent__represents,ask__asks,represent__represents,representing__represents,contain__contains,refer__refers,identify__identifies,,
occur__occurs,require__requires,occur__occurs,appear__appears,occurring__occurs,happen__happens,occurs__occurred,,
exist__exists,occur__occurs,exist__exists,appear__appears,happen__happens,occurring__occurs,existing__existed,,
consider__considers,enjoy__enjoys,consider__considers,enjoy__enjoys,considering__considers,think__thinks,suggest__suggests,1,0.963081598
learn__learns,ask__asks,learn__learns,create__creates,creating__creates,accept__accepts,remember__remembers,,
ask__asks,appear__appears,ask__asks,asking__asks,listen__listens,tell__tells,talk__talks,,
seem__seems,involve__involves,seem__seems,seem__seemed,seems__seemed,seeming__seems,appear__appears,,
prevent__prevents,contain__contains,prevent__prevents,predict__predicts,suggest__suggests,allow__allows,ensure__ensures,,
hear__hears,appear__appears,hear__hears,see__sees,learn__learns,hearing__hears,understand__understands,,
suggest__suggests,agree__agrees,suggest__suggests,prevent__prevents,consider__considers,describe__describes,ensure__ensures,,
become__becomes,prevent__prevents,become__becomes,becoming__becomes,develop__develops,become__became,becomes__became,,
believe__believes,apply__applies,believe__believes,believing__believes,accept__accepts,achieve__achieves,listen__listens,,
apply__applies,promote__promotes,apply__applies,applying__applies,accept__accepts,promote__promotes,predict__predicts,3,0.922499359
refer__refers,achieve__achieves,refer__refers,referring__refers,identify__identifies,suggest__suggests,consider__considers,,
avoid__avoids,require__requires,avoid__avoids,prevent__prevents,promote__promotes,predict__predicts,sit__sits,,
allow__allows,maintain__maintains,allow__allows,prevent__prevents,accept__accepts,suggest__suggests,allowing__allows,,
agree__agrees,explain__explains,agree__agrees,accept__accepts,believe__believes,go__goes,listen__listens,,
create__creates,occur__occurs,create__creates,generate__generates,learn__learns,speak__speaks,protect__protects,,
continue__continues,learn__learns,continue__continues,continuing__continues,develop__develops,accept__accepts,generate__generates,,
include__includes,achieve__achieves,include__includes,including__includes,contain__contains,allow__allows,referring__refers,,
reduce__reduces,improve__improves,reduce__reduces,reducing__reduces,improve__improves,tell__tells,prevent__prevents,2,0.919936955
tell__tells,ensure__ensures,tell__tells,suggest__suggests,telling__tells,prevent__prevents,ask__asks,,
understand__understands,create__creates,understand__understands,understanding__understands,see__sees,believe__believes,accept__accepts,,
identify__identifies,appear__appears,identify__identifies,protect__protects,write__writes,generate__generates,apply__applies,,
improve__improves,create__creates,improve__improves,improving__improves,enhance__enhances,reduce__reduces,achieve__achieves,,
contain__contains,create__creates,contain__contains,containing__contains,include__includes,protect__protects,prevent__prevents,,
add__adds,explain__explains,add__adds,send__sends,reduce__reduces,search__searches,tell__tells,,
develop__develops,consist__consists,develop__develops,developing__develops,become__becomes,continue__continues,speak__speaks,,
protect__protects,enjoy__enjoys,protect__protects,create__creates,explain__explains,prevent__prevents,accept__accepts,,
explain__explains,describe__describes,explain__explains,explaining__explains,protect__protects,speak__speaks,apply__applies,,
ensure__ensures,apply__applies,ensure__ensures,require__requires,prevent__prevents,suggest__suggests,predict__predicts,,
provide__provides,operate__operates,provide__provides,providing__provides,achieve__achieves,protect__protects,create__creates,,
achieve__achieves,believe__believes,achieve__achieves,listen__listens,create__creates,provide__provides,believe__believes,4,0.936121166
maintain__maintains,agree__agrees,maintain__maintains,enable__enables,teaching__teaches,identify__identifies,promote__promotes,,
happen__happens,maintain__maintains,happen__happens,happening__happens,appear__appears,occur__occurs,exist__exists,,
require__requires,achieve__achieves,require__requires,ensure__ensures,requiring__requires,suggest__suggests,tell__tells,,
receive__receives,require__requires,receive__receives,receiving__receives,create__creates,understand__understands,provide__provides,,
consist__consists,exist__exists,consist__consists,consisting__consists,consists__includes,contain__contains,containing__contains,,
operate__operates,receive__receives,operate__operates,operating__operates,enjoy__enjoys,consider__considers,write__writes,,
enjoy__enjoys,reduce__reduces,enjoy__enjoys,consider__considers,think__thinks,considering__considers,sing__sings,,
accept__accepts,appear__appears,accept__accepts,believe__believes,allow__allows,allowing__allows,protect__protects,,
send__sends,agree__agrees,send__sends,add__adds,sit__sits,ask__asks,tell__tells,,
enable__enables,allow__allows,enable__enables,generate__generates,protect__protects,involve__involves,promote__promotes,,
remain__remains,enable__enables,remain__remains,remaining__remains,remember__remembers,talk__talks,consider__considers,,
promote__promotes,suggest__suggests,promote__promotes,predict__predicts,involve__involves,prevent__prevents,apply__applies,,
involving__involves,containing__contains,involving__involves,involve__involves,allowing__allows,develop__develops,depending__depends,,
publishing__publishes,hearing__hears,publishing__publishes,teaching__teaches,managing__manages,advertising__advertises,maintain__maintains,,
advertising__advertises,performing__performs,advertising__advertises,teaching__teaches,represent__represents,refer__refers,representing__represents,,
requiring__requires,involving__involves,requiring__requires,allow__allows,require__requires,ensure__ensures,suggest__suggests,,
receiving__receives,publishing__publishes,receiving__receives,receive__receives,discovering__discovers,understand__understands,see__sees,,
performing__performs,thanking__thanks,performing__performs,operating__operates,creating__creates,applying__applies,explaining__explains,,
developing__develops,operating__operates,developing__develops,develop__develops,continuing__continues,becoming__becomes,creating__creates,,
remaining__remains,becoming__becomes,remaining__remains,remain__remains,remaining__remained,remember__remembers,resource__resources,,
asking__asks,relating__relates,asking__asks,ask__asks,listen__listens,sitting__sits,eat__eats,,
happening__happens,adding__adds,happening__happens,happen__happens,occurring__occurs,seeming__seems,appear__appears,,
providing__provides,promoting__promotes,providing__provides,provide__provides,creating__creates,speak__speaks,create__creates,,
understanding__understands,considering__considers,understanding__understands,understand__understands,see__sees,understanding__understood,protect__protects,,
continuing__continues,losing__loses,continuing__continues,continue__continues,developing__develops,develop__develops,considering__considers,,
following__follows,creating__creates,following__follows,follow__follows,going__went,depending__depends,following__follow,,
teaching__teaches,understanding__understands,teaching__teaches,maintain__maintains,refer__refers,identify__identifies,representing__represents,,
relating__relates,reducing__reduces,relating__relates,referring__refers,considering__considers,describing__describes,applying__applies,,
managing__manages,improving__improves,managing__manages,promoting__promotes,maintain__maintains,teaching__teaches,enabling__enables,,
learning__learns,spending__spends,learning__learns,creating__creates,learn__learns,discovering__discovers,applying__applies,,
describing__describes,learning__learns,describing__describes,describe__describes,relating__relates,suggesting__suggests,considering__considers,,
considering__considers,describing__describes,considering__considers,consider__considers,suggesting__suggests,enjoy__enjoys,relating__relates,,
enabling__enables,seeming__seems,enabling__enables,enable__enables,promoting__promotes,receive__receives,maintain__maintains,,
sitting__sits,referring__refers,sitting__sits,listen__listens,sit__sits,considering__considers,sing__sings,,
allowing__allows,hearing__hears,allowing__allows,accept__accepts,suggesting__suggests,allow__allows,considering__considers,,
creating__creates,consisting__consists,creating__creates,create__creates,providing__provides,discovering__discovers,learn__learns,,
believing__believes,becoming__becomes,believing__believes,believe__believes,accept__accepts,depending__depends,listen__listens,,
representing__represents,describing__describes,representing__represents,represent__represents,containing__contains,referring__refers,relating__relates,,
suggesting__suggests,describing__describes,suggesting__suggests,considering__considers,allowing__allows,suggest__suggests,describing__describes,4,0.926795185
thanking__thanks,losing__loses,thanking__thanks,admire__admiration,enjoy__enjoyment,acknowledge__acknowledgement,observe__observation,,
hearing__hears,managing__manages,hearing__hears,hear__hears,learning__learns,learn__learns,creating__creates,,
discovering__discovers,applying__applies,discovering__discovers,creating__creates,learn__learns,learning__learns,explaining__explains,,
explaining__explains,requiring__requires,explaining__explains,explain__explains,applying__applies,creating__creates,describing__describes,,
consisting__consists,remaining__remains,consisting__consists,consist__consists,consists__includes,consists__consisted,containing__contains,,
depending__depends,occurring__occurs,depending__depends,allowing__allows,believing__believes,accept__accepts,considering__considers,,
becoming__becomes,describing__describes,becoming__becomes,become__becomes,becoming__became,developing__develops,creating__creates,,
including__includes,reducing__reduces,including__includes,include__includes,allowing__allows,referring__refers,containing__contains,,
containing__contains,publishing__publishes,containing__contains,contain__contains,representing__represents,allowing__allows,including__includes,,
spending__spends,seeming__seems,spending__spends,sit__sits,adding__adds,talk__talks,listen__listens,,
reducing__reduces,consisting__consists,reducing__reduces,reduce__reduces,improving__improves,adding__adds,improve__improves,,
telling__tells,understanding__understands,telling__tells,tell__tells,considering__considers,consider__considers,prevent__prevents,,
referring__refers,sitting__sits,referring__refers,relating__relates,refer__refers,including__includes,suggesting__suggests,,
losing__loses,following__follows,losing__loses,avoid__avoids,spending__spends,sit__sits,listen__listens,,
improving__improves,managing__manages,improving__improves,improve__improves,reducing__reduces,achieve__achieves,enhance__enhances,,
applying__applies,discovering__discovers,applying__applies,apply__applies,relating__relates,explaining__explains,creating__creates,,
occurring__occurs,seeming__seems,occurring__occurs,occur__occurs,happening__happens,appear__appears,occurs__occurred,,
seeming__seems,managing__manages,seeming__seems,seem__seems,seem__seemed,happening__happens,occurring__occurs,,
unique__uniqueness,distinctive__distinctiveness,unique__uniqueness,effective__effectiveness,strange__strangeness,useful__usefulness,attractive__attractiveness,,
sad__sadness,extensive__extensiveness,sad__sadness,happy__happiness,serious__seriousness,competitive__competitiveness,tasty__delicious,,
impressive__impressiveness,fixed__fixedness,impressive__impressiveness,massive__massiveness,innovative__innovativeness,dangerous__dangerousness,reasonable__reasonableness,,
useful__usefulness,distinctive__distinctiveness,useful__usefulness,attractive__attractiveness,interesting__interestingness,effective__effectiveness,nice__niceness,,
prepared__preparedness,random__randomness,prepared__preparedness,connected__connectedness,effective__effectiveness,innovative__innovativeness,creative__creativeness,,
sacred__sacredness,interesting__interestingness,sacred__sacredness,distinct__distinctness,fixed__fixedness,connected__connectedness,distinctive__distinctiveness,,
pure__pureness,reasonable__reasonableness,pure__pureness,amazing__amazingness,vast__vastness,righteous__righteousness,devoted__devotedness,,
fixed__fixedness,massive__massiveness,fixed__fixedness,directed__directedness,connected__connectedness,situated__situatedness,marked__markedness,,
related__relatedness,random__randomness,related__relatedness,connected__connectedness,directed__directedness,distinct__distinctness,marked__markedness,,
directed__directedness,mad__madness,directed__directedness,marked__markedness,fixed__fixedness,situated__situatedness,related__relatedness,,
odd__oddness,dangerous__dangerousness,odd__oddness,strange__strangeness,random__randomness,rare__rareness,interesting__interestingness,,
innovative__innovativeness,hidden__hiddenness,innovative__innovativeness,creative__creativeness,helpful__helpfulness,interesting__interestingness,extensive__extensiveness,,
righteous__righteousness,impressive__impressiveness,righteous__righteousness,useful__usefulness,effective__effectiveness,happy__happiness,prepared__preparedness,,
creative__creativeness,vast__vastness,creative__creativeness,innovative__innovativeness,devoted__devotedness,interesting__interestingness,impressive__impressiveness,,
effective__effectiveness,impressive__impressiveness,effective__effectiveness,attractive__attractiveness,useful__usefulness,interesting__interestingness,unique__uniqueness,,
random__randomness,devoted__devotedness,random__randomness,odd__oddness,strange__strangeness,cheap__cheapness,hidden__hiddenness,,
marked__markedness,connected__connectedness,marked__markedness,directed__directedness,fixed__fixedness,situated__situatedness,related__relatedness,,
interesting__interestingness,sacred__sacredness,interesting__interestingness,attractive__attractiveness,useful__usefulness,dangerous__dangerousness,nice__niceness,,
situated__situatedness,sacred__sacredness,situated__situatedness,directed__directedness,fixed__fixedness,marked__markedness,connected__connectedness,,
helpful__helpfulness,serious__seriousness,helpful__helpfulness,nice__niceness,dangerous__dangerousness,interesting__interestingness,careful__carefulness,,
distinctive__distinctiveness,pure__pureness,distinctive__distinctiveness,distinct__distinctness,impressive__impressiveness,related__relatedness,reasonable__reasonableness,,
nice__niceness,happy__happiness,nice__niceness,helpful__helpfulness,interesting__interestingness,strange__strangeness,attractive__attractiveness,,
serious__seriousness,obvious__obviousness,serious__seriousness,careful__carefulness,happy__happiness,sad__sadness,amazing__amazingness,,
connected__connectedness,broken__brokenness,connected__connectedness,related__relatedness,fixed__fixedness,directed__directedness,broken__brokenness,4,0.900713444
broken__brokenness,foreign__foreignness,broken__brokenness,connected__connectedness,fixed__fixedness,directed__directedness,related__relatedness,,
dangerous__dangerousness,weak__weakness,dangerous__dangerousness,interesting__interestingness,hot__hotness,helpful__helpfulness,huge__hugeness,,
amazing__amazingness,strange__strangeness,amazing__amazingness,interesting__interestingness,huge__hugeness,nice__niceness,careful__carefulness,,
weak__weakness,extensive__extensiveness,weak__weakness,happy__happiness,sad__sadness,cheap__cheapness,broken__brokenness,,
reasonable__reasonableness,related__relatedness,reasonable__reasonableness,impressive__impressiveness,innovative__innovativeness,creative__creativeness,devoted__devotedness,,
obvious__obviousness,distinct__distinctness,obvious__obviousness,strange__strangeness,useful__usefulness,rare__rareness,interesting__interestingness,,
hidden__hiddenness,prepared__preparedness,hidden__hiddenness,foreign__foreignness,random__randomness,odd__oddness,cheap__cheapness,,
same__sameness,sad__sadness,same__sameness,fixed__fixedness,distinct__distinctness,strange__strangeness,odd__oddness,,
happy__happiness,massive__massiveness,happy__happiness,sad__sadness,serious__seriousness,careful__carefulness,effective__effectiveness,,
extensive__extensiveness,distinctive__distinctiveness,extensive__extensiveness,huge__hugeness,dangerous__dangerousness,innovative__innovativeness,vast__vastness,,
strange__strangeness,careful__carefulness,strange__strangeness,odd__oddness,interesting__interestingness,nice__niceness,obvious__obviousness,,
attractive__attractiveness,sad__sadness,attractive__attractiveness,effective__effectiveness,useful__usefulness,interesting__interestingness,nice__niceness,,
conscious__consciousness,serious__seriousness,conscious__consciousness,aware__awareness,righteous__righteousness,creative__creativeness,devoted__devotedness,,
devoted__devotedness,odd__oddness,devoted__devotedness,creative__creativeness,innovative__innovativeness,reasonable__reasonableness,hot__hotness,,
vast__vastness,pure__pureness,vast__vastness,huge__hugeness,amazing__amazingness,extensive__extensiveness,dangerous__dangerousness,,
hot__hotness,huge__hugeness,hot__hotness,dangerous__dangerousness,interesting__interestingness,huge__hugeness,creative__creativeness,3,0.899244785
aware__awareness,attractive__attractiveness,aware__awareness,careful__carefulness,attractive__attractiveness,effective__effectiveness,conscious__consciousness,2,0.882278323
foreign__foreignness,dangerous__dangerousness,foreign__foreignness,hidden__hiddenness,odd__oddness,random__randomness,distinct__distinctness,,
distinct__distinctness,same__sameness,distinct__distinctness,distinctive__distinctiveness,interesting__interestingness,related__relatedness,odd__oddness,,
careful__carefulness,same__sameness,careful__carefulness,nice__niceness,helpful__helpfulness,attractive__attractiveness,amazing__amazingness,,
rare__rareness,sacred__sacredness,rare__rareness,odd__oddness,strange__strangeness,dangerous__dangerousness,obvious__obviousness,,
clever__cleverest,fierce__fiercest,clever__cleverest,smart__smartest,fast__fastest,nice__nicest,cute__cutest,,
shiny__shiniest,strict__strictest,shiny__shiniest,sharp__sharpest,nice__nicest,sweet__sweetest,strict__strictest,4,0.937497139
risky__riskiest,merry__merriest,risky__riskiest,weird__weirdest,noisy__noisiest,strange__strangest,scary__scariest,,
lucky__luckiest,sad__saddest,lucky__luckiest,healthy__healthiest,polite__politest,able__ablest,hardy__hardiest,,
dumb__dumbest,dense__densest,dumb__dumbest,slow__slowest,rude__rudest,cruel__cruelest,sad__saddest,,
noisy__noisiest,mild__mildest,noisy__noisiest,scary__scariest,tricky__trickiest,sexy__sexiest,strange__strangest,,
proud__proudest,nasty__nastiest,proud__proudest,sad__saddest,tasty__tastiest,risky__riskiest,hungry__hungriest,,
costly__costliest,rare__rarest,costly__costliest,lengthy__lengthiest,sexy__sexiest,scary__scariest,handy__handiest,,
pure__purest,hungry__hungriest,pure__purest,polite__politest,sharp__sharpest,shiny__shiniest,strict__strictest,,
nice__nicest,vague__vaguest,nice__nicest,polite__politest,sweet__sweetest,sexy__sexiest,slow__slowest,,
neat__neatest,weird__weirdest,neat__neatest,nice__nicest,sharp__sharpest,shiny__shiniest,polite__politest,,
subtle__subtlest,hot__hottest,subtle__subtlest,simple__simplest,tiny__tiniest,small__smallest,fast__fastest,,
weak__weakest,polite__politest,weak__weakest,strong__strongest,wealthy__wealthiest,lucky__luckiest,healthy__healthiest,,
rude__rudest,able__ablest,rude__rudest,cruel__cruelest,dumb__dumbest,nice__nicest,polite__politest,,
sunny__sunniest,harsh__harshest,sunny__sunniest,tasty__tastiest,sexy__sexiest,cold__coldest,warm__warmest,,
polite__politest,dense__densest,polite__politest,nice__nicest,strict__strictest,mild__mildest,sharp__sharpest,,
scary__scariest,strict__strictest,scary__scariest,weird__weirdest,strange__strangest,sexy__sexiest,noisy__noisiest,,
vague__vaguest,ugly__ugliest,vague__vaguest,ugly__ugliest,vague__vaguer,cruel__cruelest,rude__rudest,1,0.900718927
handy__handiest,neat__neatest,handy__handiest,tricky__trickiest,warm__warmest,sexy__sexiest,costly__costliest,,
rare__rarest,dumb__dumbest,rare__rarest,fast__fastest,strict__strictest,strange__strangest,bright__brightest,,
cheap__cheapest,strange__strangest,cheap__cheapest,easy__easiest,simple__simplest,bright__brightest,fast__fastest,,
healthy__healthiest,cheap__cheapest,healthy__healthiest,lucky__luckiest,warm__warmest,nice__nicest,happy__happiest,,
able__ablest,nice__nicest,able__ablest,lucky__luckiest,hardy__hardiest,tasty__tastiest,healthy__healthiest,,
harsh__harshest,sunny__sunniest,harsh__harshest,cruel__cruelest,strict__strictest,noisy__noisiest,nice__nicest,,
strong__strongest,lazy__laziest,strong__strongest,wealthy__wealthiest,fast__fastest,smart__smartest,fastest__quickest,,
hardy__hardiest,healthy__healthiest,hardy__hardiest,fierce__fiercest,lucky__luckiest,sexy__sexiest,strict__strictest,,
fierce__fiercest,tricky__trickiest,fierce__fiercest,strict__strictest,sexy__sexiest,nasty__nastiest,scary__scariest,,
hungry__hungriest,nasty__nastiest,hungry__hungriest,angry__angriest,cold__coldest,proud__proudest,sad__saddest,,
wealthy__wealthiest,able__ablest,wealthy__wealthiest,strong__strongest,happy__happiest,old__oldest,fast__fastest,,
nasty__nastiest,hot__hottest,nasty__nastiest,tasty__tastiest,strange__strangest,weird__weirdest,sexy__sexiest,,
lazy__laziest,subtle__subtlest,lazy__laziest,rude__rudest,dumb__dumbest,healthy__healthiest,cruel__cruelest,,
tricky__trickiest,lucky__luckiest,tricky__trickiest,noisy__noisiest,scary__scariest,sweet__sweetest,strange__strangest,,
weird__weirdest,sunny__sunniest,weird__weirdest,strange__strangest,scary__scariest,risky__riskiest,sexy__sexiest,,
angry__angriest,fierce__fiercest,angry__angriest,sad__saddest,merry__merriest,hungry__hungriest,sexy__sexiest,,
cruel__cruelest,tricky__trickiest,cruel__cruelest,rude__rudest,harsh__harshest,sad__saddest,nice__nicest,,
cute__cutest,cruel__cruelest,cute__cutest,sweet__sweetest,nice__nicest,sexy__sexiest,scary__scariest,,
ugly__ugliest,cheap__cheapest,ugly__ugliest,dumb__dumbest,vague__vaguest,tricky__trickiest,cruel__cruelest,,
tasty__tastiest,sad__saddest,tasty__tastiest,sexy__sexiest,nasty__nastiest,weird__weirdest,warm__warmest,,
merry__merriest,strict__strictest,merry__merriest,angry__angriest,sexy__sexiest,nice__nicest,warm__warmest,,
tiny__tiniest,polite__politest,tiny__tiniest,small__smallest,cute__cutest,slow__slowest,subtle__subtlest,,
dense__densest,merry__merriest,dense__densest,strict__strictest,hot__hottest,bright__brightest,sharp__sharpest,,
strange__strangest,tricky__trickiest,strange__strangest,weird__weirdest,scary__scariest,noisy__noisiest,sexy__sexiest,,
mild__mildest,merry__merriest,mild__mildest,nice__nicest,slow__slowest,polite__politest,strict__strictest,,
sexy__sexiest,nice__nicest,sexy__sexiest,tasty__tastiest,scary__scariest,nice__nicest,sweet__sweetest,3,0.9549703
sad__saddest,ugly__ugliest,sad__saddest,angry__angriest,weird__weirdest,strange__strangest,cruel__cruelest,,
clothing__fabric,sea__water,clothing__fabric,jeans__fabric,bread__flour,flag__fabric,drapery__fabric,,
water__oxygen,clothing__fabric,water__oxygen,blossom__water,flower__water,grass__water,cocktail__alcohol,,
ocean__water,flag__fabric,ocean__water,sea__water,glacier__ice,atmosphere__gas,cloud__vapor,,
mirror__glass,yogurt__milk,mirror__glass,bottle__glass,table__wood,bowl__glass,flag__fabric,,
boots__leather,beard__hair,boots__leather,clothing__plastic,bag__leather,sweater__wool,table__wood,,
chocolate__cocoa,diamond__carbon,chocolate__cocoa,yogurt__milk,bread__flour,candy__sugar,clothing__fabric,,
plastic__polymer,cloud__vapor,plastic__polymer,chocolate__cocoa,jeans__fabric,clothing__fabric,denim__fabric,,
desk__wood,snow__water,desk__wood,table__wood,box__plastic,bag__leather,bag__plastic,,
pill__medicine,house__bricks,pill__medicine,bandage__medicine,drug__medicine,pastry__food,ornament__decoration,,
icicle__ice,house__bricks,icicle__ice,glacier__ice,lens__glass,lawn__grass,pastry__food,,
atmosphere__gas,bag__leather,atmosphere__gas,cloud__vapor,body__flesh,ice__water,body__water,,
diamond__carbon,mirror__glass,diamond__carbon,concrete__silicon,ice__water,glass__silicone,clothing__plastic,,
body__flesh,clothing__fabric,body__flesh,atmosphere__gas,ice__water,box__plastic,wall__cement,,
box__cardboard,cocktail__alcohol,box__cardboard,box__plastic,bottle__glass,bowl__glass,bag__leather,,
bottle__glass,ocean__water,bottle__glass,bowl__glass,box__plastic,bag__plastic,box__cardboard,,
wine__grapes,jeans__fabric,wine__grapes,yogurt__milk,chocolate__cocoa,jam__fruit,bread__flour,,
omelette__eggs,chocolate__cocoa,omelette__eggs,pie__pastry,pastry__flour,house__bricks,bread__flour,,
sea__water,candy__sugar,sea__water,ocean__water,glacier__ice,atmosphere__gas,lawn__grass,,
bread__flour,bowl__glass,bread__flour,pastry__flour,clothing__fabric,sweater__wool,concrete__silicon,,
jeans__fabric,house__bricks,jeans__fabric,clothing__fabric,flag__fabric,sweater__wool,boots__leather,,
wig__hair,glacier__ice,wig__hair,goggles__eyes,camouflage__identity,pseudonym__name,wig__lens,,
wire__metal,spoon__aluminium,wire__metal,concrete__silicon,glass__silicone,clothing__plastic,flag__fabric,,
lens__glass,wire__metal,lens__glass,mirror__glass,bottle__glass,window__glass,bowl__glass,,
ice__water,jam__fruit,ice__water,snow__water,diamond__carbon,glass__silicone,concrete__silicon,,
jam__fruit,wine__grapes,jam__fruit,wine__grapes,yogurt__milk,chocolate__cocoa,mascara__lemon,1,0.826902926
snow__water,chocolate__cocoa,snow__water,ice__water,wire__metal,yogurt__milk,chocolate__cocoa,4,0.873404384
house__bricks,cocktail__alcohol,house__bricks,house__plastic,building__cement,box__cardboard,box__plastic,,
flag__fabric,pill__medicine,flag__fabric,jeans__fabric,clothing__fabric,drapery__fabric,bag__leather,,
cloud__vapor,snow__water,cloud__vapor,atmosphere__gas,ice__water,box__cardboard,bottle__glass,,
table__wood,chocolate__cocoa,table__wood,desk__wood,bag__leather,box__plastic,bag__plastic,,
pastry__flour,flag__fabric,pastry__flour,bread__flour,concrete__silicon,pie__pastry,sweater__wool,,
lawn__grass,box__cardboard,lawn__grass,glacier__ice,sea__water,ocean__water,window__glass,,
bronze__copper,flag__fabric,bronze__copper,gravel__sand,steel__iron,rose__cranberry,steel__glass,,
glacier__ice,pill__medicine,glacier__ice,sea__water,ocean__water,lawn__grass,cloud__vapor,,
spoon__aluminium,diamond__carbon,spoon__aluminium,spoon__plastic,desk__wood,table__wood,box__bronze,,
money__paper,table__wood,money__paper,money__account,cocktail__glass,knowledge__book,flag__fabric,,
beard__hair,atmosphere__gas,beard__hair,flower__stem,cloud__spice,wig__hair,blossom__stem,,
glass__silicone,money__paper,glass__silicone,concrete__silicon,pastry__flour,clothing__plastic,wire__metal,,
concrete__silicon,box__cardboard,concrete__silicon,glass__silicone,clothing__plastic,pastry__flour,sweater__wool,,
steel__iron,house__bricks,steel__iron,bronze__copper,gravel__sand,tea__cabbage,yogurt__milk,,
roof__shingles,doorknob__metal,roof__shingles,wall__cement,wall__diamond,conduit__cement,building__cement,,
bowl__glass,water__oxygen,bowl__glass,bottle__glass,box__plastic,box__cardboard,table__wood,,
bag__leather,money__paper,bag__leather,bag__plastic,box__plastic,sweater__wool,table__wood,,
yogurt__milk,omelette__eggs,yogurt__milk,chocolate__cocoa,snow__water,glass__silicone,wine__grapes,,
doorknob__metal,water__oxygen,doorknob__metal,spoon__plastic,doorknob__bronze,spoon__aluminium,bag__plastic,,
monkey__chatter,cricket__chirp,monkey__chatter,magpie__chatter,rat__squeak,gorilla__grunt,pig__oink,,
raven__caw,leopard__growl,raven__caw,duck__quack,chicken__cluck,crow__caw,songbird__chirrup,,
goat__bleat,raven__caw,goat__bleat,turkey__gobble,duck__quack,dog__bark,pigeon__coo,,
rat__squeak,chimpanzee__scream,rat__squeak,mouse__squeak,goat__bleat,turkey__gobble,pig__oink,,
mouse__squeak,horse__neigh,mouse__squeak,rat__squeak,goat__bleat,turkey__gobble,dog__bark,,
frog__ribbit,cattle__moo,frog__ribbit,toad__ribbit,hornet__hamster,ferret__bee,anaconda__porcupine,,
donkey__bray,wolf__howl,donkey__bray,mule__bray,alpaca__bray,pigeon__coo,pig__oink,,
alpaca__bray,turkey__gobble,alpaca__bray,mule__bray,donkey__bray,pigeon__coo,coyote__howl,,
snake__hiss,whale__sing,snake__hiss,leopard__growl,chimpanzee__scream,fox__howl,whale__sing,4,0.932184339
crow__caw,ferret__dook,crow__caw,raven__caw,chicken__cluck,songbird__chirrup,duck__quack,,
leopard__growl,chicken__cluck,leopard__growl,fox__howl,bear__growl,wolf__howl,coyote__howl,,
mallard__quack,snake__hiss,mallard__quack,boar__murderer,cat__acrobat,magpie__chatter,hound__bitch,,
turkey__gobble,cattle__moo,turkey__gobble,duck__quack,goat__bleat,dog__bark,raven__caw,,
elephant__trumpet,hyena__laugh,elephant__trumpet,cat__piano,badger__kit,weasel__kit,woodchuck__kit,,
hyena__laugh,monkey__chatter,hyena__laugh,fox__howl,coyote__howl,wolf__howl,bear__growl,,
wolf__howl,sheep__baa,wolf__howl,fox__howl,bear__growl,coyote__howl,leopard__growl,,
coyote__howl,lion__roar,coyote__howl,fox__howl,wolf__howl,bear__growl,leopard__growl,,
pigeon__coo,cat__meow,pigeon__coo,goat__bleat,donkey__bray,coyote__howl,fox__howl,,
hornet__buzz,snake__hiss,hornet__buzz,wasp__buzz,bee__buzz,cicada__buzz,cricket__chirp,,
toad__ribbit,leopard__growl,toad__ribbit,frog__ribbit,ferret__bee,ferret__seal,herring__fingerling,,
seal__bark,donkey__bray,seal__bark,organism__tissue,flower__soil,flower__stem,icicle__money,,
horse__neigh,chicken__cluck,horse__neigh,dog__bark,chicken__cluck,raven__caw,cat__meow,2,0.964971483
mule__bray,seal__bark,mule__bray,donkey__bray,alpaca__bray,pigeon__coo,goat__bleat,,
cat__meow,mouse__squeak,cat__meow,duck__quack,goat__bleat,dog__bark,raven__caw,,
cricket__chirp,donkey__bray,cricket__chirp,songbird__chirrup,turkey__gobble,cat__meow,hornet__buzz,,
lion__roar,wasp__buzz,lion__roar,bear__growl,dog__bark,turkey__gobble,wolf__howl,,
chimpanzee__scream,seal__bark,chimpanzee__scream,leopard__growl,fox__howl,whale__sing,snake__hiss,,
songbird__chirrup,cattle__moo,songbird__chirrup,raven__caw,duck__quack,turkey__gobble,cricket__chirp,,
bear__growl,wasp__buzz,bear__growl,wolf__howl,fox__howl,leopard__growl,coyote__howl,,
wasp__buzz,pigeon__coo,wasp__buzz,hornet__buzz,cicada__buzz,bee__buzz,rat__squeak,,
duck__quack,deer__bellow,duck__quack,turkey__gobble,raven__caw,goat__bleat,dog__bark,,
